iter	Logloss
0	0.6362971575
1	0.5897191133
2	0.5489096235
3	0.513872266
4	0.4840782632
5	0.4574035297
6	0.4341590083
7	0.4147300522
8	0.3962415402
9	0.3820772815
10	0.369231706
11	0.3574976632
12	0.3462042647
13	0.3369555401
14	0.3279865689
15	0.3205238397
16	0.313146519
17	0.3075163542
18	0.3016685809
19	0.2963129988
20	0.2917906039
21	0.2877247688
22	0.2845443737
23	0.2811067267
24	0.2782833072
25	0.2753891116
26	0.2729913682
27	0.2705029967
28	0.2683301006
29	0.2662756592
30	0.2642721647
31	0.2626905118
32	0.2611338908
33	0.2598540188
34	0.2586442229
35	0.2573869523
36	0.2564433907
37	0.2551312745
38	0.2538814785
39	0.2529128474
40	0.2519755678
41	0.2509506305
