iter	Logloss
0	0.6631618177
1	0.6358309217
2	0.6106572633
3	0.5903912585
4	0.5706232782
5	0.5520856169
6	0.5359981806
7	0.5207111653
8	0.5072380256
9	0.4956313981
10	0.4848226698
11	0.4749525863
12	0.4655867783
13	0.4572831913
14	0.4496452185
15	0.4427634842
16	0.4367904252
17	0.4308671953
18	0.4253518726
19	0.4203452208
20	0.4155034786
21	0.4109739379
22	0.4072473187
23	0.4039691273
24	0.4004224978
25	0.3973446576
26	0.3943860829
27	0.3918528125
28	0.3891760455
29	0.3865832693
30	0.3842429893
31	0.3822250042
32	0.3802467802
33	0.3783933805
34	0.3767199545
35	0.3751694293
36	0.3735624317
37	0.3719785889
38	0.3706428194
39	0.3695141382
40	0.3685433813
41	0.3673630587
42	0.3663281283
43	0.3652973533
44	0.3644533094
45	0.3637124093
46	0.3628414375
47	0.3619928005
48	0.3611395728
49	0.3603463439
50	0.3594820628
51	0.3589033124
52	0.3582350374
53	0.357650418
54	0.357072649
55	0.3566813821
56	0.3560248784
57	0.3555042375
58	0.3550657253
59	0.3545359802
60	0.3540192981
61	0.3536514024
62	0.3531793822
63	0.3526793848
64	0.352162875
65	0.3516619709
66	0.3512215206
67	0.3508643447
68	0.3505098888
69	0.3501465969
70	0.3496487107
71	0.3492132223
72	0.34895736
73	0.3486392806
74	0.3483971365
75	0.3480510538
76	0.3476905216
77	0.3473767836
78	0.3470827355
79	0.3467801712
80	0.3464127017
81	0.3461177327
82	0.3459114414
83	0.3456797993
84	0.3454222689
85	0.3452182768
86	0.3449558455
87	0.3447259927
88	0.3443807914
89	0.3442215117
90	0.344014437
91	0.3437719849
92	0.3434773353
93	0.3432776444
94	0.3431385791
95	0.3428919024
96	0.3427044279
97	0.342527097
98	0.3423257305
99	0.3421697855
100	0.3420177727
101	0.3418652134
102	0.3416619658
103	0.3414268444
104	0.3412681302
105	0.3410568525
106	0.3409082026
107	0.3407865529
108	0.3406727076
109	0.3405271795
110	0.3403668382
111	0.340228464
112	0.3400649892
113	0.3398864772
114	0.3397374076
115	0.339562505
116	0.3394707321
117	0.3393626632
118	0.339164662
119	0.3390356339
120	0.3388517839
121	0.3387585651
122	0.338667347
123	0.3385711789
124	0.3383918376
125	0.3382922187
126	0.3381477792
127	0.3380328261
128	0.33795176
129	0.3378592838
130	0.3377967522
131	0.3376309248
132	0.3374759523
133	0.3373714239
134	0.3373127127
135	0.3372071852
136	0.337179819
137	0.3370381499
138	0.3369712849
139	0.3368318136
140	0.3367027163
141	0.3366093651
142	0.3365212399
143	0.3364487507
144	0.3364135834
145	0.3363535375
